value_ozone,value_co,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),season,AQI
0.037845638,0.745973154,0.205,0.0,599.25,15.1,68.65,63.75,55.5,2.825,68.075,70.775,2,35.0
0.028221477,0.831208054,0.2025,0.0,587.75,16.175,68.525,68.75,57.425,3.025,72.75,70.925,2,26.0
0.029408163,0.60976431,0.1825,0.0,619.25,17.95,67.55,78.25,60.375,4.05,97.275,72.125,2,27.0
0.02989527,0.437710438,0.1775,0.0,543.5,17.45,67.3,76.5,59.625,3.725,89.375,71.875,2,28.0
0.029806122,0.53220339,0.1875,0.0,574.75,17.075,67.3,75.0,58.925,3.225,77.275,71.8,2,28.0
0.030782313,0.678644068,0.19,0.0,574.0,16.95,68.55,72.0,58.775,2.775,66.35,71.8,2,29.0
0.029317757,0.909395973,0.225,0.0,543.75,16.675,81.975,45.5,58.25,2.95,70.9,73.35,3,27.0
0.037090343,0.717449664,0.2175,0.0,558.75,17.4,77.95,55.0,59.375,3.175,76.0,74.225,3,34.0
0.029531646,0.818430034,0.195,0.0,551.75,18.975,73.7,69.0,61.9,3.175,76.375,74.0,3,27.0
0.032977636,0.827931034,0.1825,0.0,516.75,19.875,72.9,73.25,63.3,3.2,76.475,74.25,3,31.0
0.015564669,0.853741497,0.0725,0.0,239.0,20.425,72.2,76.0,64.05,2.625,62.6,73.725,3,14.0
0.017259375,0.834343434,0.1475,0.0,412.25,17.375,72.325,64.5,59.475,3.0,72.2,73.55,3,16.0
0.023426791,0.509060403,0.1875,0.0,577.0,14.4,66.2,66.25,54.225,3.275,78.975,72.05,3,22.0
0.028791277,0.726510067,0.1875,0.0,556.25,11.975,65.175,57.25,48.875,2.75,65.875,70.175,3,27.0
0.028214953,0.916442953,0.195,0.0,544.5,14.35,71.55,55.5,53.9,3.225,76.375,70.475,3,26.0
0.026202492,0.882885906,0.1775,0.0,528.25,16.4,68.775,69.5,57.775,2.95,70.65,70.65,3,24.0
0.031532915,0.921212121,0.1675,0.0,516.5,17.075,67.0,76.5,59.0,2.75,66.0,70.775,3,29.0
0.034264798,0.970134228,0.1775,0.0,533.5,16.5,67.525,73.5,58.05,2.725,65.375,70.125,3,32.0
0.033299065,0.790939597,0.175,0.0,531.0,16.275,68.3,70.25,57.625,2.7,64.025,70.4,3,31.0
0.020816199,0.671812081,0.175,0.0,592.5,15.725,67.5,68.5,56.625,3.275,78.225,70.55,3,19.0
0.023878505,0.703020134,0.16,0.0,524.0,17.225,65.9,79.5,59.225,3.35,80.3,69.775,3,22.0
0.026165109,0.566442953,0.1575,0.0,492.5,17.3,66.9,77.0,59.35,3.35,80.5,73.3,3,24.0
0.02405296,0.819661017,0.1675,0.0,519.75,17.7,69.8,72.5,59.975,2.975,71.55,74.35,3,22.0
0.029037383,0.94295302,0.155,0.0,487.5,17.65,67.35,77.75,59.925,2.65,63.95,70.16666667,3,27.0
0.027627389,0.803780069,0.1075,0.0,370.25,17.7,64.825,85.0,60.05,2.9,69.475,70.3,3,26.0
0.022218354,0.476791809,0.0925,0.0,329.5,15.95,63.6,79.75,57.125,3.225,77.35,69.23333333,3,21.0
0.021665625,0.388888889,0.0425,0.0,181.0,16.325,63.4,81.75,57.725,2.9,70.0,68.86666667,3,20.0
0.025510903,0.420805369,0.1225,0.0,409.25,15.2,63.2,76.75,55.825,3.225,77.45,68.6,3,24.0
0.022168224,0.644966443,0.0825,0.0,294.5,14.5,61.375,78.0,54.45,2.9,69.85,67.1,3,21.0
0.0238125,0.512631579,0.0425,0.0,184.25,14.45,60.05,82.0,54.325,3.35,80.475,66.5,3,22.0
0.022402597,0.792708333,0.13,0.0,444.75,12.875,58.825,76.25,51.225,3.525,84.775,65.43333333,3,21.0
0.029990596,0.728378378,0.1,0.0,349.25,16.25,62.375,84.5,57.625,3.075,74.375,67.03333333,3,28.0
0.020204403,0.659731544,0.085,0.0,301.0,14.95,62.05,78.5,55.275,2.85,68.3,66.7,3,19.0
0.02608125,0.858922559,0.0925,0.0,336.5,15.65,61.275,84.75,56.575,2.525,60.6,65.7,3,24.0
0.020971875,0.891245791,0.075,0.0,297.0,15.85,61.225,86.0,56.9,3.075,73.85,66.2,3,19.0
0.021987179,0.900680272,0.035,0.0025,191.5,15.3,60.325,85.75,55.975,3.025,71.675,65.66666667,3,20.0
0.032400641,0.554137931,0.0425,0.0,156.5,13.6,59.975,77.25,52.75,2.825,67.6,65.26666667,3,30.0
0.027449686,0.650508475,0.0825,0.0,294.0,13.15,59.875,75.0,51.8,3.0,72.15,64.96666667,3,25.0
0.020370717,0.795302013,0.0675,0.0,255.75,13.95,60.325,78.5,53.425,2.525,60.075,65.0,3,19.0
0.025841121,0.957718121,0.09,0.0,325.0,14.25,59.95,80.75,54.025,2.725,65.0,64.46666667,3,24.0
0.028819315,0.755369128,0.07,0.0,273.0,14.625,58.175,88.5,54.725,2.725,65.525,63.8,3,27.0
0.028367601,0.671812081,0.05,0.0,209.25,14.65,60.325,82.25,54.775,2.625,62.25,64.36666667,3,26.0
0.029040752,0.606734007,0.04,0.0,151.25,14.225,61.075,77.25,54.0,2.9,69.3,64.5,3,27.0
0.026682243,0.769463087,0.0775,0.0,280.5,13.5,58.625,80.5,52.55,3.325,80.375,63.93333333,3,25.0
0.0214081,0.745637584,0.05,0.0,214.25,13.625,58.8,80.5,52.775,2.75,66.4,63.93333333,3,20.0
0.020725857,0.872147651,0.055,0.0,230.5,13.625,57.625,84.0,52.775,2.95,70.975,62.86666667,3,19.0
0.023088652,0.947058824,0.075,0.0,291.25,13.375,58.175,80.75,52.3,2.975,70.675,63.26666667,3,21.0
0.023684887,0.753472222,0.055,0.0,223.0,13.65,58.925,80.0,52.775,2.875,68.625,63.33333333,3,22.0
0.022887147,0.830536913,0.06,0.0,245.0,13.875,59.05,81.0,53.275,2.475,58.8,63.46666667,3,21.0
0.022327103,0.55033557,0.0825,0.0,316.25,13.05,59.875,75.0,51.525,2.375,57.575,61.93333333,3,21.0
0.01499375,0.972053872,0.0525,0.0,226.25,12.825,55.775,84.75,51.175,2.75,66.1,60.0,3,14.0
0.021922118,0.769798658,0.1025,0.0,241.5,8.25,60.775,45.75,39.25,4.3,103.3,59.33333333,3,20.0
0.029579439,0.590939597,0.15,0.0,260.0,4.475,64.825,22.5,23.425,6.025,144.35,57.96666667,3,27.0
0.015390625,0.955892256,0.0625,0.0,270.0,7.575,49.075,64.75,37.45,2.875,68.875,53.93333333,0,14.0
0.031220497,0.491973244,0.15,0.005,258.75,5.1,69.85,20.5,27.425,6.95,167.6,56.2,0,29.0
